Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3932 Nplus : 10 Nminus : 3 | Aexp: 0.538462 | errAexp: 0.233709
Run_number: 3933 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3934 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3935 Nplus : 2 Nminus : 5 | Aexp: -0.428571 | errAexp: 0.341494
Run_number: 3936 Nplus : 1 Nminus : 8 | Aexp: -0.777778 | errAexp: 0.209513
Run_number: 3937 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3938 Nplus : 3 Nminus : 1 | Aexp: 0.5 | errAexp: 0.433013
Run_number: 3939 Nplus : 2 Nminus : 5 | Aexp: -0.428571 | errAexp: 0.341494
Run_number: 3940 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 3941 Nplus : 7 Nminus : 5 | Aexp: 0.166667 | errAexp: 0.284638
Run_number: 3942 Nplus : 3 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3944 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3945 Nplus : 0 Nminus : 2 | Aexp: -1 | errAexp: 0
Run_number: 3946 Nplus : 3 Nminus : 9 | Aexp: -0.5 | errAexp: 0.25
Run_number: 3947 Nplus : 0 Nminus : 4 | Aexp: -1 | errAexp: 0
Run_number: 3948 Nplus : 5 Nminus : 6 | Aexp: -0.0909091 | errAexp: 0.300263
Run_number: 3951 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3952 Nplus : 5 Nminus : 3 | Aexp: 0.25 | errAexp: 0.342327
Run_number: 3954 Nplus : 8 Nminus : 4 | Aexp: 0.333333 | errAexp: 0.272166
Run_number: 3955 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3956 Nplus : 0 Nminus : 4 | Aexp: -1 | errAexp: 0
Run_number: 3957 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3959 Nplus : 5 Nminus : 10 | Aexp: -0.333333 | errAexp: 0.243432
Run_number: 3960 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3961 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 3962 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3963 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3964 Nplus : 7 Nminus : 7 | Aexp: 0 | errAexp: 0.267261
