Run_number: 4187 | Ap_exp: -0.206897 | errAexp: 0.128465
Run_number: 4188 | Ap_exp: 0.290323 | errAexp: 0.171869
Run_number: 4190 | Ap_exp: -0.0666667 | errAexp: 0.182168
Run_number: 4192 | Ap_exp: -1 | errAexp: 0
Run_number: 4194 | Ap_exp: -0.263158 | errAexp: 0.156504
Run_number: 4195 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 4196 | Ap_exp: 0.215686 | errAexp: 0.136732
Run_number: 4197 | Ap_exp: -0.111111 | errAexp: 0.125208
Run_number: 4198 | Ap_exp: -0.0721649 | errAexp: 0.10127
Run_number: 4199 | Ap_exp: -0.114754 | errAexp: 0.127191
Run_number: 4200 | Ap_exp: -0.288889 | errAexp: 0.142715
Run_number: 4201 | Ap_exp: -0.0422535 | errAexp: 0.118572
Run_number: 4202 | Ap_exp: -1 | errAexp: 0
Run_number: 4203 | Ap_exp: 0.160494 | errAexp: 0.109671
Run_number: 4204 | Ap_exp: 0.166667 | errAexp: 0.201269
Run_number: 4214 | Ap_exp: -0.2 | errAexp: 0.146059
Run_number: 4215 | Ap_exp: 0.111111 | errAexp: 0.234243
Run_number: 4216 | Ap_exp: -0.166667 | errAexp: 0.164336
Run_number: 4217 | Ap_exp: -0.294118 | errAexp: 0.231808
Run_number: 4218 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 4219 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 4220 | Ap_exp: 0.288889 | errAexp: 0.142715
Run_number: 4223 | Ap_exp: -0.291667 | errAexp: 0.138062
Run_number: 4224 | Ap_exp: 0.172414 | errAexp: 0.12934
Run_number: 4230 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 4231 | Ap_exp: 0.209877 | errAexp: 0.108636
Run_number: 4233 | Ap_exp: -0.0333333 | errAexp: 0.129028
Run_number: 4234 | Ap_exp: 0.130435 | errAexp: 0.206733
Run_number: 4236 | Ap_exp: 0.0909091 | errAexp: 0.212318
Run_number: 4251 | Ap_exp: 0.171717 | errAexp: 0.0990109
Run_number: 4252 | Ap_exp: 0.156627 | errAexp: 0.10841
Run_number: 4253 | Ap_exp: -0.28 | errAexp: 0.135765
Run_number: 4254 | Ap_exp: -0.208333 | errAexp: 0.0998226
Run_number: 4256 | Ap_exp: 0.0588235 | errAexp: 0.108277
Run_number: 4257 | Ap_exp: 0.193548 | errAexp: 0.124599
Run_number: 4258 | Ap_exp: -0.222222 | errAexp: 0.162499
