dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.0029512,0.0014569561618458407,,3.674871879314768e-05,3.674871879314768e-05
global_fit_ye,ratio,Ye,0.0029854,0.0014737208322111906,,3.7380103459420804e-05,3.7380103459420804e-05
global_fit_ye,ratio,Ye,0.00302,0.0014906773408718355,,3.8024774168876514e-05,3.8024774168876514e-05
global_fit_ye,ratio,Ye,0.0030549,0.0015078278542858716,,3.868301767502388e-05,3.868301767502388e-05
global_fit_ye,ratio,Ye,0.0030903,0.0015251732394811807,,3.93551028346592e-05,3.93551028346592e-05
global_fit_ye,ratio,Ye,0.0031261,0.0015427176693402047,,4.004131681851368e-05,4.004131681851368e-05
global_fit_ye,ratio,Ye,0.0031623,0.0015604631654915113,,4.07419626776906e-05,4.07419626776906e-05
global_fit_ye,ratio,Ye,0.0031989,0.0015784107486680808,,4.145732354026823e-05,4.145732354026823e-05
global_fit_ye,ratio,Ye,0.0032359,0.0015965632825859907,,4.218769848864031e-05,4.218769848864031e-05
global_fit_ye,ratio,Ye,0.0032734,0.0016149239474245458,,4.293338504104144e-05,4.293338504104144e-05
global_fit_ye,ratio,Ye,0.0033113,0.0016334937649550411,,4.369471626097384e-05,4.369471626097384e-05
global_fit_ye,ratio,Ye,0.0033497,0.001652275759893348,,4.447197585136405e-05,4.447197585136405e-05
global_fit_ye,ratio,Ye,0.0033884,0.0016712719560655893,,4.526549716501492e-05,4.526549716501492e-05
global_fit_ye,ratio,Ye,0.0034277,0.0016904853790289456,,4.607560378342933e-05,4.607560378342933e-05
global_fit_ye,ratio,Ye,0.0034674,0.0017099180534297447,,4.6902609363119465e-05,4.6902609363119465e-05
global_fit_ye,ratio,Ye,0.0035075,0.001729573005687236,,4.774684738583553e-05,4.774684738583553e-05
global_fit_ye,ratio,Ye,0.0035481,0.0017494520860984384,,4.860865699000289e-05,4.860865699000289e-05
global_fit_ye,ratio,Ye,0.0035892,0.0017695576689150724,,4.948838123590049e-05,4.948838123590049e-05
global_fit_ye,ratio,Ye,0.0036308,0.0017898926086666544,,5.038635940800608e-05,5.038635940800608e-05
global_fit_ye,ratio,Ye,0.0036728,0.001810459752250051,,5.130294038140193e-05,5.130294038140193e-05
